model,image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg
RGB-augment,img2419,0.8181818181818182,0.7142857142857143,0.7627118644067797,0.7985068705384247,45,10,18
RGB-augment,img2422,0.8444444444444444,1.0,0.9156626506024096,0.8664814529449685,38,7,0
RGB-augment,img243,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.8704453908031416,7,4,2
RGB-augment,img2435,0.9298245614035088,0.8983050847457628,0.9137931034482759,0.833959903043348,53,4,6
RGB-augment,img2438,0.9666666666666667,0.7837837837837838,0.8656716417910447,0.8832591979944454,29,1,8
RGB-augment,img244,0.7142857142857143,0.8823529411764706,0.7894736842105262,0.8072281672837496,15,6,2
RGB-augment,img2443,0.9655172413793104,0.9491525423728814,0.9572649572649573,0.8380140132695969,56,2,3
RGB-augment,img2444,0.8923076923076924,0.8656716417910447,0.8787878787878788,0.8462086253996157,58,7,9
RGB-augment,img2459,0.925,0.8809523809523809,0.9024390243902439,0.8484424108343301,37,3,5
RGB-augment,img2460,0.9,0.8181818181818182,0.8571428571428572,0.8155500370322811,54,6,12
RGB-augment,img2465,0.9344262295081968,0.9827586206896551,0.9579831932773109,0.8372256861008293,57,4,1
RGB-augment,img2468,0.16666666666666666,0.5,0.25,0.8384575234970899,1,5,1
RGB-augment,img2473,0.8888888888888888,0.9142857142857143,0.9014084507042254,0.8772559789013754,32,4,3
RGB-augment,img2475,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8815189056585748,18,1,4
RGB-augment,img2479,0.88,0.9166666666666666,0.8979591836734694,0.8243518710180894,22,3,2
RGB-augment,img2491,0.42857142857142855,0.75,0.5454545454545454,0.7637561643929905,6,8,2
RGB-augment,img2493,0.0,0.0,0.0,0.0,0,4,1
RGB-augment,img2497,0.7547169811320755,0.6666666666666666,0.7079646017699115,0.8095547991695404,40,13,20
RGB-augment,img2501,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8657697139125876,33,6,3
RGB-augment,img2502,0.918918918918919,0.9714285714285714,0.9444444444444445,0.8385578352278394,34,3,1
RGB-augment,img2511,0.9523809523809523,0.967741935483871,0.96,0.85254660635402,60,3,2
RGB-augment,img2514,0.7037037037037037,0.5757575757575758,0.6333333333333334,0.7685231330671481,38,16,28
RGB-augment,img2519,0.9285714285714286,0.8666666666666667,0.896551724137931,0.8838178245135716,26,2,4
RGB-augment,img2520,0.9607843137254902,0.9607843137254902,0.9607843137254902,0.8813231067049069,49,2,2
RGB-augment,img2522,0.9375,0.9375,0.9375,0.8428098401829756,45,3,3
RGB-augment,img2524,0.8857142857142857,0.6888888888888889,0.775,0.7914956407911405,31,4,14
RGB-augment,img2529,0.7346938775510204,0.8571428571428571,0.7912087912087913,0.8102934304652422,36,13,6
RGB-augment,img253,0.8955223880597015,0.821917808219178,0.8571428571428571,0.854075915042411,60,7,13
RGB-augment,img2531,0.78125,0.8333333333333334,0.8064516129032259,0.8134297259403027,25,7,5
RGB-augment,img2536,0.8727272727272727,0.8571428571428571,0.8648648648648648,0.7880396831111973,48,7,8
RGB-augment,img2545,0.5,0.6923076923076923,0.5806451612903226,0.8445457037318636,9,9,4
RGB-augment,img2559,0.75,0.375,0.5,0.7424867681466133,3,1,5
RGB-augment,img2565,0.7391304347826086,0.7083333333333334,0.723404255319149,0.8279929469087087,17,6,7
RGB-augment,img2568,0.7254901960784313,0.9736842105263158,0.8314606741573034,0.8239150635081048,37,14,1
RGB-augment,img257,0.5,0.45454545454545453,0.47619047619047616,0.7607913771353128,5,5,6
RGB-augment,img2572,0.3076923076923077,0.8,0.4444444444444444,0.8795680833211966,4,9,1
RGB-augment,img2586,0.8695652173913043,0.7843137254901961,0.8247422680412372,0.821210371985271,40,6,11
RGB-augment,img2598,0.6875,0.6285714285714286,0.6567164179104478,0.826475829161361,22,10,13
RGB-augment,img260,0.8260869565217391,1.0,0.9047619047619047,0.8156821164769884,19,4,0
RGB-augment,img261,0.9047619047619048,1.0,0.9500000000000001,0.826547695005755,19,2,0
RGB-augment,img2612,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.7292693439102991,5,6,1
RGB-augment,img2616,0.984375,0.9130434782608695,0.9473684210526315,0.8614174745356868,63,1,6
RGB-augment,img2622,0.9375,0.8181818181818182,0.8737864077669902,0.8327403825207058,45,3,10
RGB-augment,img2623,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8382246577187523,10,3,3
RGB-augment,img263,1.0,0.9772727272727273,0.9885057471264368,0.8475578036873209,43,0,1
RGB-augment,img2632,0.7037037037037037,0.7755102040816326,0.7378640776699029,0.8263332562615346,38,16,11
RGB-augment,img2640,0.72,0.6923076923076923,0.7058823529411765,0.8013120162880404,18,7,8
RGB-augment,img2647,0.8372093023255814,1.0,0.9113924050632911,0.847157227659427,36,7,0
