image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img5809,0.7857142857142857,1.0,0.88,0.8470333024677875,11,3,0,RGB-augment
img5813,0.7666666666666667,0.8214285714285714,0.793103448275862,0.8087041511194084,23,7,5,RGB-augment
img5818,0.45454545454545453,1.0,0.625,0.818821018910673,5,6,0,RGB-augment
img5819,1.0,0.8666666666666667,0.9285714285714286,0.8326780189285834,13,0,2,RGB-augment
img5820,0.8648648648648649,1.0,0.927536231884058,0.8568120658446731,32,5,0,RGB-augment
img5851,0.875,0.9333333333333333,0.9032258064516129,0.8683761978698453,42,6,3,RGB-augment
img5860,1.0,1.0,1.0,0.9606475771213177,1,0,0,RGB-augment
img5866,0.8823529411764706,0.8490566037735849,0.8653846153846154,0.8795237385186747,45,6,8,RGB-augment
img5869,0.875,0.8571428571428571,0.8659793814432989,0.8949513995618241,42,6,7,RGB-augment
img5878,0.36363636363636365,1.0,0.5333333333333333,0.8526080013665749,4,7,0,RGB-augment
img5880,0.25,0.4,0.3076923076923077,0.8808770583168927,2,6,3,RGB-augment
img5885,1.0,1.0,1.0,0.9018723559962688,1,0,0,RGB-augment
img5895,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8270533838025648,18,3,3,RGB-augment
img5898,1.0,1.0,1.0,0.8098914638578569,6,0,0,RGB-augment
img5901,0.625,0.7142857142857143,0.6666666666666666,0.7276179028904121,10,6,4,RGB-augment
img5909,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.8496980089249082,15,4,2,RGB-augment
img591,0.9210526315789473,0.875,0.8974358974358975,0.8474234781789296,35,3,5,RGB-augment
img5910,0.8571428571428571,0.9473684210526315,0.9,0.8575975169341672,18,3,1,RGB-augment
