image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img2714,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8569551731710033,30,8,8,RGB-origin
img2720,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.8088552746715495,23,8,8,RGB-origin
img2734,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.8509355476666745,24,3,15,RGB-origin
img2735,0.828125,0.6973684210526315,0.7571428571428572,0.8217628796671288,53,11,23,RGB-origin
img2739,0.7428571428571429,0.7878787878787878,0.7647058823529412,0.8613910642560137,26,9,7,RGB-origin
img2740,0.9166666666666666,0.8148148148148148,0.8627450980392156,0.8522474846476407,22,2,5,RGB-origin
img2767,0.7368421052631579,0.717948717948718,0.7272727272727273,0.7901761868328354,28,10,11,RGB-origin
img2774,0.8611111111111112,0.7560975609756098,0.8051948051948052,0.7718179437159232,31,5,10,RGB-origin
img2781,0.9111111111111111,0.8723404255319149,0.891304347826087,0.87368859243019,41,4,6,RGB-origin
img2785,0.9090909090909091,0.851063829787234,0.8791208791208791,0.8535595010218214,40,4,7,RGB-origin
img2788,0.9,0.6428571428571429,0.75,0.8357871523288344,9,1,5,RGB-origin
img2794,0.8461538461538461,0.7096774193548387,0.7719298245614036,0.8416958408174788,22,4,9,RGB-origin
img2806,0.8095238095238095,0.8947368421052632,0.8500000000000001,0.8327676582193768,34,8,4,RGB-origin
img2808,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8427292178475909,13,2,2,RGB-origin
img2811,1.0,0.6666666666666666,0.8,0.9024934143720191,2,0,1,RGB-origin
img2814,0.8292682926829268,0.68,0.7472527472527474,0.819447467345117,68,14,32,RGB-origin
img2819,0.9777777777777777,0.8979591836734694,0.9361702127659575,0.8752580504716334,44,1,5,RGB-origin
img282,0.9354838709677419,0.90625,0.9206349206349206,0.8227723916232816,29,2,3,RGB-origin
img2824,0.7931034482758621,0.7666666666666667,0.7796610169491527,0.8132222878007479,23,6,7,RGB-origin
img2825,0.9482758620689655,0.8088235294117647,0.873015873015873,0.801906717554299,55,3,13,RGB-origin
img2826,0.9361702127659575,0.8301886792452831,0.88,0.7835881367206826,44,3,9,RGB-origin
img2836,0.9090909090909091,0.8928571428571429,0.9009009009009009,0.807851158222683,50,5,6,RGB-origin
img2839,0.8245614035087719,0.746031746031746,0.7833333333333334,0.8054124493353815,47,10,16,RGB-origin
img2843,0.7857142857142857,0.7096774193548387,0.7457627118644068,0.7709550258492258,22,6,9,RGB-origin
img2847,0.9583333333333334,0.7666666666666667,0.8518518518518519,0.8084443787617029,23,1,7,RGB-origin
img2852,0.8,0.5581395348837209,0.6575342465753425,0.8637085544024279,24,6,19,RGB-origin
img2854,0.8125,0.6842105263157895,0.742857142857143,0.8023561067558995,26,6,12,RGB-origin
img2856,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.8336256471275683,18,4,8,RGB-origin
img2859,0.6,0.75,0.6666666666666665,0.8715477669636679,3,2,1,RGB-origin
img2865,0.9111111111111111,0.7735849056603774,0.8367346938775511,0.8668498632239715,41,4,12,RGB-origin
img2867,0.6285714285714286,0.5116279069767442,0.5641025641025641,0.8036145852089736,22,13,21,RGB-origin
img2868,0.82,0.803921568627451,0.8118811881188118,0.8416716295172536,41,9,10,RGB-origin
img287,0.8666666666666667,0.7647058823529411,0.8125,0.8492332098212285,13,2,4,RGB-origin
img2875,0.84,0.6774193548387096,0.75,0.8472874570862262,21,4,10,RGB-origin
img2878,1.0,0.8181818181818182,0.9,0.8096335222408793,18,0,4,RGB-origin
img288,0.9259259259259259,0.6944444444444444,0.7936507936507936,0.8016600425156984,25,2,11,RGB-origin
img2888,0.0,0.0,0.0,0.0,0,0,0,RGB-origin
img2891,1.0,0.8571428571428571,0.923076923076923,0.8323034743034716,12,0,2,RGB-origin
img2906,0.85,0.796875,0.8225806451612903,0.8026982473122086,51,9,13,RGB-origin
img2909,0.975,0.7358490566037735,0.8387096774193549,0.8189840216671228,39,1,14,RGB-origin
img291,0.975609756097561,0.8333333333333334,0.8988764044943819,0.8174283839139587,40,1,8,RGB-origin
img2916,0.7321428571428571,0.6307692307692307,0.6776859504132231,0.8168629489136823,41,15,24,RGB-origin
img2921,0.875,0.717948717948718,0.7887323943661971,0.7896289430733298,28,4,11,RGB-origin
img2925,0.7142857142857143,0.6,0.6521739130434783,0.7759991761989306,15,6,10,RGB-origin
img2926,0.8095238095238095,0.68,0.7391304347826089,0.8637204724074311,17,4,8,RGB-origin
img2938,0.9545454545454546,0.9264705882352942,0.9402985074626866,0.820218581402041,63,3,5,RGB-origin
img2939,0.9473684210526315,0.9310344827586207,0.9391304347826087,0.8873952504931801,54,3,4,RGB-origin
img2940,0.9166666666666666,0.8301886792452831,0.8712871287128713,0.8777319178164256,44,4,9,RGB-origin
img2942,1.0,0.2,0.33333333333333337,0.63937485769321,1,0,4,RGB-origin
img2944,0.75,0.6428571428571429,0.6923076923076924,0.8351070924985576,9,3,5,RGB-origin
img2947,1.0,0.9459459459459459,0.9722222222222222,0.8760420990196449,35,0,2,RGB-origin
img2957,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.803833137608108,18,4,8,RGB-origin
img2968,0.625,0.6666666666666666,0.6451612903225806,0.7902119483179432,10,6,5,RGB-origin
img297,0.0,0.0,0.0,0.0,0,0,0,RGB-origin
img2978,0.8636363636363636,0.6785714285714286,0.76,0.8372802706917059,19,3,9,RGB-origin
img2980,0.9245283018867925,0.765625,0.8376068376068376,0.8071946639045281,49,4,15,RGB-origin
img2997,0.9090909090909091,0.7142857142857143,0.8,0.8301438437543341,20,2,8,RGB-origin
img2998,0.875,0.7777777777777778,0.823529411764706,0.7966459886785371,21,3,6,RGB-origin
img3000,0.75,0.8333333333333334,0.7894736842105262,0.8380096863405897,15,5,3,RGB-origin
img3006,0.6956521739130435,0.5,0.5818181818181818,0.809492487061918,16,7,16,RGB-origin
img3010,0.8378378378378378,0.6888888888888889,0.7560975609756098,0.8058862747006424,31,6,14,RGB-origin
img3017,0.9148936170212766,0.86,0.8865979381443299,0.8328375092066485,43,4,7,RGB-origin
img3034,0.7307692307692307,0.7037037037037037,0.7169811320754716,0.8223028630861083,19,7,8,RGB-origin
img3035,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.817722311072923,20,10,10,RGB-origin
img3040,0.8888888888888888,0.8,0.8421052631578948,0.8612274296481479,8,1,2,RGB-origin
img3061,0.8571428571428571,0.8076923076923077,0.8316831683168318,0.8428642555522776,42,7,10,RGB-origin
img3074,0.85,0.9444444444444444,0.8947368421052632,0.7941644799578923,17,3,1,RGB-origin
img3085,1.0,0.75,0.8571428571428571,0.7814836669519107,18,0,6,RGB-origin
img3095,0.7777777777777778,1.0,0.8750000000000001,0.7793450118040534,7,2,0,RGB-origin
img3103,0.8181818181818182,0.72,0.7659574468085107,0.8600916903676126,18,4,7,RGB-origin
img3106,0.8648648648648649,0.8421052631578947,0.8533333333333334,0.8537073794759553,32,5,6,RGB-origin
img3109,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.882391776797655,11,1,3,RGB-origin
img311,0.375,0.2,0.26086956521739135,0.6782241859905219,3,5,12,RGB-origin
img3111,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.8829582469604251,4,2,8,RGB-origin
img3121,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.8154781332183972,12,6,15,RGB-origin
img3126,0.9,0.6428571428571429,0.75,0.9030545393576114,9,1,5,RGB-origin
img3133,0.868421052631579,0.66,0.7500000000000001,0.8425484404714184,33,5,17,RGB-origin
img314,0.9375,0.75,0.8333333333333334,0.7650433356432403,15,1,5,RGB-origin
img3146,0.8918918918918919,0.868421052631579,0.88,0.8088695463753623,33,4,5,RGB-origin
img3156,0.7777777777777778,0.6176470588235294,0.6885245901639345,0.8628547055450843,21,6,13,RGB-origin
img3157,0.7857142857142857,0.7586206896551724,0.7719298245614034,0.8317928828985941,22,6,7,RGB-origin
